	1	2	3	4	5	6	7	8	9	10	11	12	13	15	16	17	18	19	20	21	22	23
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	% C3 IN C2 COMP	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10A100C3.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv
8/13/2004 16:15	8.713103294	97.46360779	200.8930969	385.0185242	379.0145874	41.7990036	47.3903389	43.07564926	79.75314331	1.483199596	130.9115295	181.2351532	199.0375214	201.6920471	204.6974335	6.05066061	4995.361328	93.12742615	92.74819946	5358.961426	1.46387732	2.202665567
8/13/2004 16:20	8.725423813	97.16880035	200.9721832	385.0226746	379.043335	41.90887451	47.90100098	43.39207077	79.72071838	1.483199596	130.9000702	181.1252899	199.4081879	201.6393127	204.5738373	6.042365551	4970.366211	91.74817657	92.63466644	5327.408691	1.461138248	2.202630758
8/13/2004 16:25	8.721463203	97.03696442	201.0512848	385.0245972	379.072052	42.01873779	47.47911453	43.7732048	79.68830109	1.483199716	130.8886261	181.0154266	199.2433777	201.5865784	204.4502258	6.007058144	4921.32959	93.09480286	92.52113342	5430.185547	1.459422708	2.202983141
8/13/2004 16:30	8.719046593	96.94173431	201.0463104	385.0162964	379.100769	42.15937042	47.45274734	43.65335083	79.74501038	1.495406985	130.747406	180.9055481	199.0785828	201.5338287	204.2302399	6.009363174	4956.024414	91.67492676	92.40759277	5428.498047	1.462369919	2.205098152
8/13/2004 16:35	8.704520226	97.03330231	200.7892303	385.0079651	379.1294861	41.69628525	47.42637634	42.85152817	79.73738861	1.504562497	130.7704315	181.2472382	198.9801941	201.4811096	204.270874	6.022694111	4995.551758	91.91170502	92.29405212	5396.75293	1.465317011	2.207213163
8/13/2004 16:40	8.699074745	97.12484741	200.7892303	384.9996338	379.087738	41.37492371	47.42637634	43.41844177	79.72976685	1.504562497	130.8088989	180.800415	199.0272675	201.4088593	204.3258057	6.016697407	4947.228516	92.56568909	92.46427155	5392.181152	1.468264103	2.209328175
8/13/2004 16:45	8.70685482	97.21640778	200.7892151	384.9913025	379.04599	41.76385117	47.42637634	43.47117615	79.72213745	1.504562497	130.8473511	181.082901	199.0743561	201.6904449	204.3807526	6.039228916	5013.071777	92.18191528	92.64026642	5390.322266	1.471211195	2.211443186
8/13/2004 16:50	8.713095665	97.30795288	200.7892151	384.987854	379.0042419	41.25626373	47.42637634	42.99655533	79.7144928	1.495712161	130.885788	181.3565979	199.0648651	201.8316956	204.4356842	6.056044579	5021.998535	92.43789673	92.81627655	5349.967773	1.466639996	2.210529089
8/13/2004 16:55	8.720627785	97.25577545	201.2928467	384.9857788	378.9624939	41.77043915	47.42637634	43.47117615	79.7259903	1.492355227	130.9242554	181.2667084	199.037384	201.9729614	204.8366852	6.044486523	5009.048828	93.30766296	92.99227142	5363.106445	1.459948301	2.208760977
8/13/2004 17:00	8.696457863	97.05741119	200.7101135	384.9837036	378.997406	41.5141449	47.46922684	43.47117615	79.71644592	1.492355108	131.1886444	181.1768188	199.0099182	201.5529327	204.3648071	6.039432526	5082.009766	92.54242706	93.0369873	5385.15332	1.453256726	2.206992626
