	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m	% C3 IN C2 COMP
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv	10A100C3.PV
8/1/2004 1:20	8.430341721	94.04553223	200.6178131	385.0158997	378.6114502	40.55751419	44.73684311	42.3719635	71.30466461	130.0857697	181.843811	198.711792	201.183075	204.3637238	6.267085552	5316.895508	93.02919006	93.33115387	4852.552734	1.606560111	2.128319502	0.765327871
8/1/2004 1:25	8.429639816	94.21337891	200.8632355	385.066803	378.5192871	41.00577164	44.91877747	42.39942932	71.15055084	130.9686584	182.4502716	199.1807709	201.8340454	204.4461212	6.245332718	5305.556641	94.17147064	93.10572815	4841.850098	1.615540266	2.130850554	0.74595958
8/1/2004 1:30	8.427734375	94.4158783	200.7111206	385.1176453	378.5848694	41.34855652	45.00843048	42.77807236	70.53783417	130.539566	182.5557556	199.045639	201.8729401	204.7575836	6.252456188	5141.63916	92.80698395	92.88031006	5025.956055	1.613137364	2.130153656	0.744651616
8/1/2004 1:35	8.420887947	94.37772369	200.559021	385.1685181	378.6504211	40.59970474	44.77084351	42.58972931	70.20310974	129.7649689	181.9492798	198.8808441	201.7410736	204.1560669	6.247590542	5186.70166	92.26355743	92.65488434	5057.423828	1.610502243	2.129390717	0.773644269
8/1/2004 1:40	8.412373543	94.33958435	200.4096375	385.2193604	378.7160034	40.59706879	44.66675949	42.64058685	70.30021667	129.8647461	181.7573853	198.596283	200.9342346	203.8347168	6.250031948	5200.198242	92.9839859	92.5520401	5048.750488	1.607867479	2.128628016	0.801339805
8/1/2004 1:45	8.424621582	94.30142975	200.437088	385.2321777	378.7815857	40.65145111	44.56267929	42.49556351	70.92501831	129.9645081	181.9038849	198.0601196	200.9210663	204.0153198	6.25027895	5341.71582	92.87705994	92.45169067	4955.799316	1.605232239	2.127865314	0.796533167
8/1/2004 1:50	8.417057991	94.26328278	200.4645691	385.2342834	378.7901611	40.73385239	44.45859146	42.26013184	71.7427597	130.5286865	182.1703796	198.7259216	201.44841	204.213089	6.247242928	5368.97168	94.05041504	92.35135651	4871.801758	1.603116751	2.12612915	0.783804655
8/1/2004 1:55	8.431702614	94.20773315	200.4920349	385.2363586	378.7574768	40.81625748	44.72365952	42.5426445	71.02114868	130.6580505	182.1196442	198.6160583	201.44841	203.7424316	6.246738911	5108.242188	92.95716858	92.25099945	4990.023438	1.601377606	2.123688221	0.769066453
8/1/2004 2:00	8.414922714	94.20011139	200.5194702	385.2384338	378.724762	41.12065506	44.9187851	42.46731186	70.5406189	129.5712128	182.0689545	198.5061798	201.44841	204.2711792	6.250239372	5159.254883	92.13633728	92.14482117	5089.595703	1.599638462	2.121247292	0.769066453
8/1/2004 2:05	8.386943817	94.19248199	200.4530182	385.2411194	378.6920776	40.61025238	45.05062103	42.74982452	70.7881546	129.6234131	181.8927612	198.2974396	201.44841	204.3405609	6.243000984	5336.479004	92.82800293	92.02909851	5019.461426	1.597899437	2.118806362	0.793481231
8/1/2004 2:10	8.172430038	94.1848526	200.7254944	385.2447815	378.6980286	40.89370346	45.18246078	42.89283752	72.09174347	130.9073181	182.2992554	198.8511658	201.44841	204.4099579	6.250758171	5510.334961	92.93086243	91.91338348	4757.209961	1.596160293	2.116365433	0.793481231
8/1/2004 2:15	8.120914459	94.17721558	200.6156311	385.2484131	378.7670288	41.17057037	44.75567627	42.8049469	70.600914	132.2057953	182.1194763	198.901886	201.9625854	204.4793243	6.263265133	5121.120117	91.96657562	91.56446838	4808.993652	1.589043617	2.110185146	0.793481231
8/1/2004 2:20	8.111330986	93.6725235	200.1695709	385.2520752	378.8360596	40.79482651	44.56733704	42.71705246	67.03207397	131.0995789	181.9396973	198.350174	201.253952	203.7654877	6.247889519	4940.515625	90.85276031	90.83507538	5098.504883	1.578033209	2.101297379	0.793481231
