Time,10f010.pv,10T0003.PV,10P020.PV,10T0015.PV,10T0009.PV,10T0010.PV,10T013.PV,10A100C3.PV
Time,DeC2FeedFlow.m,DeC2FeedTemp.m,DeC2ProdPress.m,DeC2ProdTemp.m,DeC2OvhdTemp.m,DeC2RefTemp.m,DeC2Tr39Temp.m,% C3 IN C2 COMP
MM/dd/yy H:mm:ss,None,None,None,None,None,None,None,None
08/01/97 0:00:00,8.429578781,201.1082611,378.9395752,40.6287117,44.36604691,42.36454391,69.68193054,0.677510917
08/01/97 0:05:00,8.423321724,200.6573639,378.9014282,40.81052017,44.39350891,42.59664154,69.44168854,0.698873878
08/01/97 0:10:00,8.422515869,200.6573639,378.8632813,40.7477417,44.30177307,42.37690353,69.55970001,0.698873878
08/01/97 0:15:00,8.424077034,200.6573792,378.8251343,40.68496323,44.66652679,42.16321564,69.67769623,0.735496104
08/01/97 0:20:00,8.410603523,200.6573639,378.8617554,40.62218094,44.77640152,42.19068146,69.98322296,0.723288715
08/01/97 0:25:00,8.42538166,200.6573792,378.8999023,40.33338928,44.71800995,42.21814728,70.54994202,0.723288655
08/01/97 0:30:00,8.437963486,200.6818695,378.9380493,40.4505806,44.52967072,42.2456131,70.48265076,0.723288655
08/01/97 0:35:00,8.421014786,200.399353,378.9761963,40.92667007,44.31495667,42.27307892,69.42563629,0.728049576
08/01/97 0:40:00,8.415371895,200.15242,378.9884949,40.49437332,44.18310928,42.30966568,69.6025238,0.757713556
08/01/97 0:45:00,8.433131218,200.3501892,378.9820862,40.58388519,44.7500267,42.37558746,69.80699921,0.778221965
08/01/97 0:50:00,8.421658516,200.7303925,378.9757385,40.64452744,44.71780396,42.33734894,70.65049744,0.778221965
08/01/97 0:55:00,8.42097187,200.6289825,378.9693604,40.72890472,44.64455795,42.69331741,70.92263031,0.770668626
08/01/97 1:00:00,8.423977852,200.5275574,378.9629517,40.67177582,44.57131577,42.23627472,70.68361664,0.748139441
08/01/97 1:05:00,8.411664009,200.3353119,378.8879395,40.64038467,44.27705383,42.28955841,69.42746735,0.766014636
08/01/97 1:10:00,8.424255371,200.4294739,378.7957764,40.60899734,44.35945129,42.31702423,69.65138245,0.766014576
08/01/97 1:15:00,8.429779053,200.5236359,378.7036133,40.5776062,44.28858948,42.34449387,70.12634277,0.811792374
08/01/97 1:20:00,8.430341721,200.6178131,378.6114502,40.55751419,44.73684311,42.3719635,71.30466461,0.765327871
