Time,10f010.pv,10T0003.PV,10A100C3.PV
Time,DeC2FeedFlow.m,DeC2FeedTemp.m,% C3 IN C2 COMP
MM/dd/yy H:mm:ss,None,None,None
08/01/97 7:30:00,7.85305357,201.6549683,0.192266613
08/01/97 7:35:00,7.823938847,201.5817108,0.192266613
08/01/97 7:40:00,7.836512089,200.6897278,0.224127933
08/01/97 7:45:00,7.832788944,200.8695068,0.247199938
08/01/97 7:50:00,7.878200054,201.0492859,0.247199938
08/01/97 7:55:00,7.886532307,200.7892151,0.243766591
08/01/97 8:00:00,7.927280903,200.7892151,0.238418058
08/01/97 8:05:00,7.881054401,200.7730408,0.27161473
08/01/97 8:10:00,7.97009182,200.6831512,0.27161473
08/01/97 8:15:00,7.966930389,200.5932465,0.228888825
08/01/97 8:20:00,7.977828503,200.5033569,0.241096228
08/01/97 8:25:00,7.855464458,200.4134674,0.241096228
08/01/97 8:30:00,7.851008415,200.2849274,0.279976845
08/01/97 8:35:00,7.849726677,200.7892151,0.278389841
08/01/97 8:40:00,7.847041607,200.7892151,0.258290797
08/01/97 8:45:00,7.703382969,200.1959381,0.25025177
08/01/97 8:50:00,7.696638584,199.8716125,0.261848837
08/01/97 8:55:00,7.720519066,199.9850006,0.280770302
08/01/97 9:00:00,7.707644939,199.9174347,0.282967627
08/01/97 9:05:00,7.719687462,200.4916229,0.292977691
08/01/97 9:10:00,7.711440086,200.303299,0.292977691
08/01/97 9:15:00,7.715158463,200.0527954,0.228888825
08/01/97 9:20:00,7.697256565,200.1469727,0.213934764
08/01/97 9:25:00,7.7209692,200.2411346,0.206529349
08/01/97 9:30:00,7.701132774,200.3616791,0.204474017
08/01/97 9:35:00,7.703695774,200.0113678,0.204474017
08/01/97 9:40:00,7.704336643,200.1156311,0.222174764
08/01/97 9:45:00,7.716361046,200.2354889,0.234992519
08/01/97 9:50:00,7.71202755,200.6573639,0.221945852
08/01/97 9:55:00,7.711838245,199.9831085,0.215643793
08/01/97 10:00:00,7.708350182,199.6026459,0.228888825
08/01/97 10:05:00,7.704947472,200.2585602,0.228888825
08/01/97 10:10:00,7.711569786,200.5288239,0.228888825
08/01/97 10:15:00,7.796527386,200.1563873,0.201422185
08/01/97 10:20:00,7.809022903,199.6742249,0.201422185
08/01/97 10:25:00,7.834093571,199.8625793,0.234611049
08/01/97 10:30:00,7.945646763,200.82547,0.247199938
08/01/97 10:35:00,7.97399807,200.6606598,0.232625797
08/01/97 10:40:00,7.98492384,200.112442,0.228125855
08/01/97 10:45:00,7.995116711,200.2589264,0.299081385
08/01/97 10:50:00,8.065401077,200.4741211,0.299081385
08/01/97 10:55:00,8.081240654,200.4081879,0.299081385
08/01/97 11:00:00,8.188299179,200.3422852,0.253303617
08/01/97 11:05:00,8.228448868,200.2763519,0.366954535
08/01/97 11:10:00,8.25377655,200.6507721,0.36927399
08/01/97 11:15:00,8.260560989,201.0397034,0.357066572
08/01/97 11:20:00,8.347197533,200.7298889,0.390255451
08/01/97 11:25:00,8.341959953,200.6105042,0.473647296
08/01/97 11:30:00,8.351481438,200.7569885,0.524918377
08/01/97 11:35:00,8.336131096,201.1293488,0.524918377
08/01/97 11:40:00,8.455275536,201.3923798,0.524918437
08/01/97 11:45:00,8.46303463,200.9711609,0.614605427
08/01/97 11:50:00,8.468459129,201.1029968,0.735496104
08/01/97 11:55:00,8.494094849,201.2348328,0.808252215
08/01/97 12:00:00,8.503769875,201.4335785,0.82705158
08/01/97 12:05:00,8.517649651,201.3511658,0.846479297
08/01/97 12:10:00,8.531540871,201.2687836,0.854518294
08/01/97 12:15:00,8.483077049,201.1863556,0.854518294
08/01/97 12:20:00,8.492538452,200.921051,0.936918259
08/01/97 12:25:00,8.502090454,200.921051,1.093294978
08/01/97 12:30:00,8.474043846,200.921051,1.138340354
08/01/97 12:35:00,8.484877586,200.921051,1.162755251
08/01/97 12:40:00,8.495956421,200.921051,1.162755251
08/01/97 12:45:00,8.482893944,200.8577728,1.162755251
08/01/97 12:50:00,8.453627586,200.9456635,1.285825729
08/01/97 12:55:00,8.454854012,201.0335541,1.275429606
08/01/97 13:00:00,8.454367638,201.51651,1.242103338
08/01/97 13:05:00,8.437543869,201.406662,1.278725505
08/01/97 13:10:00,8.436384201,200.7232971,1.2883389
08/01/97 13:15:00,8.414459229,201.1451721,1.321451426
08/01/97 13:20:00,8.420704842,201.4000702,1.315347791
08/01/97 13:25:00,8.40989399,201.7120667,1.297769189
08/01/97 13:30:00,8.408078194,201.7120667,1.217688441
08/01/97 13:35:00,8.393834114,201.2016754,1.217688441
08/01/97 13:40:00,8.366893768,201.2958527,1.21768856
08/01/97 13:45:00,8.34779644,201.3900299,1.24460578
08/01/97 13:50:00,8.362171173,201.4841919,1.197546244
08/01/97 13:55:00,8.353458405,201.5783539,1.184118152
08/01/97 14:00:00,8.36432457,201.6263885,1.184118152
08/01/97 14:05:00,8.405377388,201.5165405,1.134830713
08/01/97 14:10:00,8.386974335,201.2016754,1.081514955
08/01/97 14:15:00,8.421728134,201.2958527,1.083407044
08/01/97 14:20:00,8.518211365,201.3900299,1.046784878
08/01/97 14:25:00,8.492520332,201.7219543,1.035823226
08/01/97 14:30:00,8.512955666,201.7769165,0.979644179
08/01/97 14:35:00,8.506241798,201.8318634,1.000571132
08/01/97 14:40:00,8.509652138,201.8867798,1.060518265
08/01/97 14:45:00,8.506340981,201.9417114,1.07730341
08/01/97 14:50:00,8.51535511,202.0878296,1.057832599
08/01/97 14:55:00,8.556279182,201.9779663,1.043733001
08/01/97 15:00:00,8.605707169,201.5185089,1.043733001
08/01/97 15:05:00,8.616291046,201.608429,1.043733001
08/01/97 15:10:00,8.617242813,201.6983185,1.09012115
08/01/97 15:15:00,8.645833015,201.7881927,1.141392231
08/01/97 15:20:00,8.664480209,201.9666443,1.13211453
08/01/97 15:25:00,8.667196274,201.9159393,1.130024195
08/01/97 15:30:00,8.743652344,201.8652496,1.17496264
08/01/97 15:35:00,8.764565468,201.4291534,1.281777382
08/01/97 15:40:00,8.781060219,201.3784485,1.281777501
08/01/97 15:45:00,8.763054848,201.3277283,1.297036648
08/01/97 15:50:00,8.755288124,201.9910583,1.323953986
08/01/97 15:55:00,8.75672245,202.0174408,1.324503303
08/01/97 16:00:00,8.754906654,202.0437927,1.330607057
08/01/97 16:05:00,8.757036209,202.0701599,1.503189206
08/01/97 16:10:00,8.754070282,202.0965271,1.507614374
08/01/97 16:15:00,8.756134033,201.8908997,1.486251354
08/01/97 16:20:00,8.753960609,202.0144958,1.486251354
08/01/97 16:25:00,8.751449585,202.138092,1.505722165
08/01/97 16:30:00,8.767174721,202.3581085,1.519821763
08/01/97 16:35:00,8.764910698,202.1559448,1.541856289
08/01/97 16:40:00,8.767663002,201.8571167,1.579867005
08/01/97 16:45:00,8.754631996,202.0285187,1.586962461
08/01/97 16:50:00,8.771233559,202.3495178,1.586962461
08/01/97 16:55:00,8.755150795,202.2921906,1.586962461
08/01/97 17:00:00,8.760850906,202.2348785,1.553392291
08/01/97 17:05:00,8.753808022,202.177536,1.577308774
08/01/97 17:10:00,8.747384071,202.120224,1.577807069
08/01/97 17:15:00,8.756408691,202.1171112,1.577807069
08/01/97 17:20:00,8.758104324,202.1698303,1.573046207
08/01/97 17:25:00,8.748352051,202.22258,1.566471696
08/01/97 17:30:00,8.740439415,202.2753143,1.562547684
08/01/97 17:35:00,8.71694088,202.3280487,1.562547803
08/01/97 17:40:00,8.618405342,202.0153198,1.559800982
08/01/97 17:45:00,8.624279976,202.0834351,1.547288418
08/01/97 17:50:00,8.618350983,202.1932983,1.553392172
08/01/97 17:55:00,8.60806942,202.0021362,1.553392172
08/01/97 18:00:00,8.613934517,201.975769,1.498458862
08/01/97 18:05:00,8.612934113,201.8043823,1.431318045
08/01/97 18:10:00,8.615680695,202.0944366,1.431318164
08/01/97 18:15:00,8.478658676,202.2465515,1.345866323
08/01/97 18:20:00,8.469237328,202.6085968,1.31070888
08/01/97 18:25:00,8.468971252,202.4196167,1.309244037
08/01/97 18:30:00,8.452986717,201.8834839,1.251258969
08/01/97 18:35:00,8.431409836,201.785202,1.237983465
08/01/97 18:40:00,8.423571587,201.7252655,1.173207879
08/01/97 18:45:00,8.446125031,201.868988,1.150547862
08/01/97 18:50:00,8.402089119,201.934906,1.150547862
08/01/97 18:55:00,8.40598774,202.3614197,1.014701366
08/01/97 19:00:00,8.378902435,202.3064728,0.961333096
08/01/97 19:05:00,8.382482529,202.2515411,0.961333036
08/01/97 19:10:00,8.373649597,202.1965942,0.934659839
08/01/97 19:15:00,8.360973358,202.1416626,0.881673515
08/01/97 19:20:00,8.36423111,202.3185577,0.833155334
08/01/97 19:25:00,8.364894867,202.3981934,0.833155334
08/01/97 19:30:00,8.331171989,202.4256744,0.78231144
08/01/97 19:35:00,8.348910332,202.4531403,0.759973168
08/01/97 19:40:00,8.323886871,202.4806061,0.736106455
08/01/97 19:45:00,8.308389664,202.6217804,0.72939235
08/01/97 19:50:00,8.291268349,202.0548706,0.714896083
08/01/97 19:55:00,8.300857544,202.5666504,0.679158926
08/01/97 20:00:00,8.286553383,202.3868561,0.646992385
08/01/97 20:05:00,8.283493996,202.1207886,0.646992385
08/01/97 20:10:00,8.279442787,202.1075897,0.646992385
08/01/97 20:15:00,8.283616066,202.1075897,0.620086312
08/01/97 20:20:00,8.352954865,202.1076202,0.574297309
08/01/97 20:25:00,8.343806267,202.1076202,0.543839812
08/01/97 20:30:00,8.350826263,202.107605,0.537125826
08/01/97 20:35:00,8.384915352,202.1998901,0.537125766
08/01/97 20:40:00,8.403851509,202.2940674,0.525528729
08/01/97 20:45:00,8.403668404,202.6085968,0.512710989
08/01/97 20:50:00,8.419445992,202.6091309,0.512710989
08/01/97 20:55:00,8.411725044,202.5827637,0.513707459
08/01/97 21:00:00,8.425396919,202.5563965,0.518814683
08/01/97 21:05:00,8.417187691,202.530014,0.546281397
08/01/97 21:10:00,8.4341259,202.5036621,0.546281338
08/01/97 21:15:00,8.452528954,202.3713074,0.567644298
08/01/97 21:20:00,8.455336571,202.3713074,0.591982841
08/01/97 21:25:00,8.476668358,202.3713074,0.601214647
